name,date,total_cases
Arizona,2020-02-20,1
Massachusetts,2020-02-20,1
Arizona,2020-02-21,1
California,2020-02-21,9
Illinois,2020-02-21,2
Massachusetts,2020-02-21,1
Nebraska,2020-02-21,11
Texas,2020-02-21,4
Washington,2020-02-21,1
Wisconsin,2020-02-21,1
Texas,2020-02-22,4
Washington,2020-02-22,1
Nebraska,2020-02-22,11
Wisconsin,2020-02-22,1
Illinois,2020-02-22,2
California,2020-02-22,9
Arizona,2020-02-22,1
Massachusetts,2020-02-22,1
Arizona,2020-02-23,1
California,2020-02-23,9
Illinois,2020-02-23,2
Massachusetts,2020-02-23,1
Nebraska,2020-02-23,11
Texas,2020-02-23,4
Washington,2020-02-23,1
Wisconsin,2020-02-23,1
Wisconsin,2020-02-24,1
Washington,2020-02-24,5
Texas,2020-02-24,10
Nebraska,2020-02-24,12
Illinois,2020-02-24,2
California,2020-02-24,11
Arizona,2020-02-24,1
Massachusetts,2020-02-24,1
Nebraska,2020-02-25,13
Arizona,2020-02-25,1
California,2020-02-25,11
Illinois,2020-02-25,2
Massachusetts,2020-02-25,1
Texas,2020-02-25,10
Utah,2020-02-25,1
Washington,2020-02-25,5
Wisconsin,2020-02-25,1
Wisconsin,2020-02-26,1
Utah,2020-02-26,1
Washington,2020-02-26,5
Texas,2020-02-26,10
California,2020-02-26,26
Massachusetts,2020-02-26,1
Illinois,2020-02-26,2
Arizona,2020-02-26,1
Nebraska,2020-02-26,13
Wisconsin,2020-02-27,1
Washington,2020-02-27,5
Utah,2020-02-27,1
Texas,2020-02-27,10
Nebraska,2020-02-27,13
Massachusetts,2020-02-27,1
Illinois,2020-02-27,2
California,2020-02-27,26
Arizona,2020-02-27,1
Wisconsin,2020-02-28,1
Washington,2020-02-28,7
Utah,2020-02-28,1
Texas,2020-02-28,11
Oregon,2020-02-28,1
Arizona,2020-02-28,1
Massachusetts,2020-02-28,1
Illinois,2020-02-28,2
California,2020-02-28,27
Nebraska,2020-02-28,13
Utah,2020-02-29,1
Wisconsin,2020-02-29,1
Washington,2020-02-29,10
Oregon,2020-02-29,1
Texas,2020-02-29,11
Massachusetts,2020-02-29,1
Nebraska,2020-02-29,13
Illinois,2020-02-29,3
California,2020-02-29,28
Arizona,2020-02-29,1
Wisconsin,2020-03-01,1
Washington,2020-03-01,17
Utah,2020-03-01,1
Texas,2020-03-01,11
Rhode Island,2020-03-01,2
New York,2020-03-01,1
Oregon,2020-03-01,2
Massachusetts,2020-03-01,1
Illinois,2020-03-01,3
Florida,2020-03-01,2
California,2020-03-01,33
Arizona,2020-03-01,1
Nebraska,2020-03-01,13
New York,2020-03-02,1
Wisconsin,2020-03-02,1
Washington,2020-03-02,23
Utah,2020-03-02,1
Texas,2020-03-02,11
Oregon,2020-03-02,2
New Hampshire,2020-03-02,1
Rhode Island,2020-03-02,2
Massachusetts,2020-03-02,2
Illinois,2020-03-02,4
Georgia,2020-03-02,2
Florida,2020-03-02,2
California,2020-03-02,38
Arizona,2020-03-02,1
Nebraska,2020-03-02,13
Wisconsin,2020-03-03,1
Washington,2020-03-03,32
Utah,2020-03-03,1
Texas,2020-03-03,11
Rhode Island,2020-03-03,2
Oregon,2020-03-03,2
North Carolina,2020-03-03,1
New York,2020-03-03,2
Nebraska,2020-03-03,13
Massachusetts,2020-03-03,2
Illinois,2020-03-03,4
Georgia,2020-03-03,2
Florida,2020-03-03,3
California,2020-03-03,45
Arizona,2020-03-03,2
New Hampshire,2020-03-03,2
New York,2020-03-04,11
Washington,2020-03-04,47
Utah,2020-03-04,1
Texas,2020-03-04,12
Rhode Island,2020-03-04,2
Oregon,2020-03-04,2
North Carolina,2020-03-04,1
New Jersey,2020-03-04,1
Wisconsin,2020-03-04,1
Nebraska,2020-03-04,13
Massachusetts,2020-03-04,2
Illinois,2020-03-04,4
Georgia,2020-03-04,2
Florida,2020-03-04,3
California,2020-03-04,55
Arizona,2020-03-04,2
New Hampshire,2020-03-04,2
New York,2020-03-05,22
Oregon,2020-03-05,2
Rhode Island,2020-03-05,2
Tennessee,2020-03-05,1
Wisconsin,2020-03-05,1
Utah,2020-03-05,1
Washington,2020-03-05,75
New Jersey,2020-03-05,2
Texas,2020-03-05,16
New Hampshire,2020-03-05,2
North Carolina,2020-03-05,1
Nebraska,2020-03-05,13
Massachusetts,2020-03-05,3
Maryland,2020-03-05,3
Illinois,2020-03-05,5
Georgia,2020-03-05,2
Florida,2020-03-05,4
Colorado,2020-03-05,2
California,2020-03-05,67
Arizona,2020-03-05,2
Nevada,2020-03-05,2
New York,2020-03-06,44
North Carolina,2020-03-06,2
Oklahoma,2020-03-06,1
Oregon,2020-03-06,2
Wisconsin,2020-03-06,1
Pennsylvania,2020-03-06,2
Utah,2020-03-06,3
South Carolina,2020-03-06,2
Tennessee,2020-03-06,1
Texas,2020-03-06,19
Washington,2020-03-06,86
New Jersey,2020-03-06,4
Rhode Island,2020-03-06,3
New Hampshire,2020-03-06,2
Indiana,2020-03-06,1
Nebraska,2020-03-06,14
Nevada,2020-03-06,2
Arizona,2020-03-06,3
California,2020-03-06,81
Florida,2020-03-06,7
Georgia,2020-03-06,3
Colorado,2020-03-06,8
Illinois,2020-03-06,6
Kentucky,2020-03-06,1
Maryland,2020-03-06,3
Massachusetts,2020-03-06,8
Minnesota,2020-03-06,1
Hawaii,2020-03-06,1
Rhode Island,2020-03-07,3
New York,2020-03-07,89
North Carolina,2020-03-07,2
Oklahoma,2020-03-07,1
Oregon,2020-03-07,6
Pennsylvania,2020-03-07,4
South Carolina,2020-03-07,2
Virginia,2020-03-07,1
Texas,2020-03-07,19
Wisconsin,2020-03-07,1
Utah,2020-03-07,3
Vermont,2020-03-07,1
Washington,2020-03-07,110
New Jersey,2020-03-07,4
Tennessee,2020-03-07,1
New Hampshire,2020-03-07,4
Florida,2020-03-07,12
Nebraska,2020-03-07,14
Nevada,2020-03-07,2
Arizona,2020-03-07,5
California,2020-03-07,100
Colorado,2020-03-07,8
Georgia,2020-03-07,7
Hawaii,2020-03-07,1
Illinois,2020-03-07,6
District of Columbia,2020-03-07,1
Kansas,2020-03-07,1
Kentucky,2020-03-07,1
Maryland,2020-03-07,3
Massachusetts,2020-03-07,13
Minnesota,2020-03-07,1
Missouri,2020-03-07,1
Indiana,2020-03-07,1
Pennsylvania,2020-03-08,6
New Jersey,2020-03-08,6
New York,2020-03-08,106
North Carolina,2020-03-08,2
Oklahoma,2020-03-08,1
Oregon,2020-03-08,13
Rhode Island,2020-03-08,3
Wisconsin,2020-03-08,1
Tennessee,2020-03-08,3
Texas,2020-03-08,23
Utah,2020-03-08,3
Vermont,2020-03-08,1
Virginia,2020-03-08,2
Washington,2020-03-08,141
New Hampshire,2020-03-08,4
South Carolina,2020-03-08,6
Nebraska,2020-03-08,16
Nevada,2020-03-08,4
District of Columbia,2020-03-08,1
Missouri,2020-03-08,1
Arizona,2020-03-08,5
California,2020-03-08,112
Colorado,2020-03-08,8
Connecticut,2020-03-08,1
Florida,2020-03-08,13
Georgia,2020-03-08,11
Hawaii,2020-03-08,2
Indiana,2020-03-08,2
Iowa,2020-03-08,3
Kansas,2020-03-08,1
Kentucky,2020-03-08,4
Maryland,2020-03-08,5
Massachusetts,2020-03-08,28
Minnesota,2020-03-08,2
Illinois,2020-03-08,7
Ohio,2020-03-09,3
Oklahoma,2020-03-09,1
North Carolina,2020-03-09,7
New Hampshire,2020-03-09,4
New Jersey,2020-03-09,11
Oregon,2020-03-09,13
New York,2020-03-09,142
Pennsylvania,2020-03-09,10
Washington,2020-03-09,179
South Carolina,2020-03-09,7
Tennessee,2020-03-09,4
Texas,2020-03-09,24
Utah,2020-03-09,3
Vermont,2020-03-09,1
Wisconsin,2020-03-09,2
Virginia,2020-03-09,5
Rhode Island,2020-03-09,3
Nevada,2020-03-09,4
Colorado,2020-03-09,12
Missouri,2020-03-09,1
Nebraska,2020-03-09,16
Arizona,2020-03-09,6
California,2020-03-09,172
Connecticut,2020-03-09,2
District of Columbia,2020-03-09,4
Georgia,2020-03-09,17
Hawaii,2020-03-09,2
Illinois,2020-03-09,11
Florida,2020-03-09,14
Iowa,2020-03-09,8
Kansas,2020-03-09,1
Kentucky,2020-03-09,5
Louisiana,2020-03-09,1
Maryland,2020-03-09,6
Massachusetts,2020-03-09,41
Minnesota,2020-03-09,2
Indiana,2020-03-09,4
Pennsylvania,2020-03-10,12
New Jersey,2020-03-10,15
New York,2020-03-10,173
North Carolina,2020-03-10,7
Ohio,2020-03-10,3
Oklahoma,2020-03-10,2
Oregon,2020-03-10,14
Rhode Island,2020-03-10,5
Wisconsin,2020-03-10,3
South Dakota,2020-03-10,5
Tennessee,2020-03-10,7
Texas,2020-03-10,31
Utah,2020-03-10,4
Vermont,2020-03-10,1
Virginia,2020-03-10,8
Washington,2020-03-10,279
New Hampshire,2020-03-10,5
South Carolina,2020-03-10,9
Nevada,2020-03-10,4
Indiana,2020-03-10,6
Missouri,2020-03-10,1
Arizona,2020-03-10,6
California,2020-03-10,179
Colorado,2020-03-10,17
Connecticut,2020-03-10,2
Florida,2020-03-10,23
Georgia,2020-03-10,22
Hawaii,2020-03-10,2
Illinois,2020-03-10,19
District of Columbia,2020-03-10,4
Iowa,2020-03-10,13
Kansas,2020-03-10,1
Kentucky,2020-03-10,7
Louisiana,2020-03-10,6
Maryland,2020-03-10,9
Massachusetts,2020-03-10,92
Michigan,2020-03-10,2
Minnesota,2020-03-10,3
Nebraska,2020-03-10,17
Oregon,2020-03-11,20
Oklahoma,2020-03-11,2
Ohio,2020-03-11,4
North Dakota,2020-03-11,1
New Jersey,2020-03-11,23
New York,2020-03-11,217
New Mexico,2020-03-11,4
Pennsylvania,2020-03-11,16
North Carolina,2020-03-11,8
Rhode Island,2020-03-11,5
Wisconsin,2020-03-11,6
South Dakota,2020-03-11,8
Tennessee,2020-03-11,8
Texas,2020-03-11,33
Utah,2020-03-11,5
Vermont,2020-03-11,2
Virginia,2020-03-11,10
Washington,2020-03-11,338
Nevada,2020-03-11,7
Wyoming,2020-03-11,1
South Carolina,2020-03-11,10
Nebraska,2020-03-11,23
New Hampshire,2020-03-11,5
Mississippi,2020-03-11,1
Missouri,2020-03-11,1
Arizona,2020-03-11,9
Arkansas,2020-03-11,1
California,2020-03-11,202
Colorado,2020-03-11,34
Connecticut,2020-03-11,3
Delaware,2020-03-11,1
Florida,2020-03-11,26
Georgia,2020-03-11,31
Hawaii,2020-03-11,2
District of Columbia,2020-03-11,10
Indiana,2020-03-11,11
Illinois,2020-03-11,25
Michigan,2020-03-11,2
Massachusetts,2020-03-11,95
Maryland,2020-03-11,13
Minnesota,2020-03-11,5
Kentucky,2020-03-11,7
Kansas,2020-03-11,1
Iowa,2020-03-11,14
Louisiana,2020-03-11,13
Oregon,2020-03-12,30
New Hampshire,2020-03-12,6
New Jersey,2020-03-12,29
New Mexico,2020-03-12,6
New York,2020-03-12,326
North Carolina,2020-03-12,16
North Dakota,2020-03-12,1
Ohio,2020-03-12,5
Oklahoma,2020-03-12,2
Pennsylvania,2020-03-12,22
Wyoming,2020-03-12,1
South Carolina,2020-03-12,12
South Dakota,2020-03-12,8
Tennessee,2020-03-12,18
Texas,2020-03-12,41
Utah,2020-03-12,7
Vermont,2020-03-12,2
Virginia,2020-03-12,17
Washington,2020-03-12,419
Wisconsin,2020-03-12,8
Nevada,2020-03-12,11
Rhode Island,2020-03-12,5
Nebraska,2020-03-12,24
California,2020-03-12,252
Mississippi,2020-03-12,1
Missouri,2020-03-12,2
Alaska,2020-03-12,1
Arizona,2020-03-12,9
Arkansas,2020-03-12,6
Colorado,2020-03-12,49
Connecticut,2020-03-12,6
District of Columbia,2020-03-12,10
Florida,2020-03-12,46
Georgia,2020-03-12,31
Hawaii,2020-03-12,2
Delaware,2020-03-12,4
Indiana,2020-03-12,12
Minnesota,2020-03-12,9
Illinois,2020-03-12,32
Massachusetts,2020-03-12,108
Maryland,2020-03-12,13
Maine,2020-03-12,1
Michigan,2020-03-12,12
Kentucky,2020-03-12,11
Kansas,2020-03-12,5
Iowa,2020-03-12,16
Louisiana,2020-03-12,14
Nevada,2020-03-13,19
Oregon,2020-03-13,30
New Hampshire,2020-03-13,7
New Jersey,2020-03-13,50
New Mexico,2020-03-13,10
New York,2020-03-13,421
North Carolina,2020-03-13,18
North Dakota,2020-03-13,1
Ohio,2020-03-13,13
Oklahoma,2020-03-13,3
Pennsylvania,2020-03-13,41
Wyoming,2020-03-13,2
Rhode Island,2020-03-13,20
South Carolina,2020-03-13,13
South Dakota,2020-03-13,9
Tennessee,2020-03-13,26
Texas,2020-03-13,58
Utah,2020-03-13,7
Vermont,2020-03-13,2
Virginia,2020-03-13,30
Washington,2020-03-13,511
Wisconsin,2020-03-13,19
Nebraska,2020-03-13,27
Puerto Rico,2020-03-13,3
Montana,2020-03-13,4
District of Columbia,2020-03-13,10
Mississippi,2020-03-13,6
Alaska,2020-03-13,1
Arizona,2020-03-13,9
Arkansas,2020-03-13,7
California,2020-03-13,320
Colorado,2020-03-13,78
Connecticut,2020-03-13,11
Delaware,2020-03-13,4
Florida,2020-03-13,70
Georgia,2020-03-13,41
Hawaii,2020-03-13,2
Idaho,2020-03-13,1
Alabama,2020-03-13,6
Indiana,2020-03-13,12
Illinois,2020-03-13,46
Minnesota,2020-03-13,14
Michigan,2020-03-13,25
Massachusetts,2020-03-13,123
Maryland,2020-03-13,18
Missouri,2020-03-13,4
Louisiana,2020-03-13,36
Kentucky,2020-03-13,11
Kansas,2020-03-13,6
Iowa,2020-03-13,17
Maine,2020-03-13,2
Nevada,2020-03-14,21
New Hampshire,2020-03-14,7
New Jersey,2020-03-14,75
New Mexico,2020-03-14,13
New York,2020-03-14,610
North Carolina,2020-03-14,25
North Dakota,2020-03-14,1
Ohio,2020-03-14,26
Oklahoma,2020-03-14,4
Oregon,2020-03-14,36
Pennsylvania,2020-03-14,47
South Carolina,2020-03-14,19
Rhode Island,2020-03-14,20
South Dakota,2020-03-14,9
Tennessee,2020-03-14,32
Utah,2020-03-14,21
Vermont,2020-03-14,5
Virgin Islands,2020-03-14,1
Virginia,2020-03-14,42
Washington,2020-03-14,609
Wisconsin,2020-03-14,27
Nebraska,2020-03-14,29
Wyoming,2020-03-14,3
Puerto Rico,2020-03-14,4
Texas,2020-03-14,69
Montana,2020-03-14,6
Mississippi,2020-03-14,6
Missouri,2020-03-14,5
Alabama,2020-03-14,12
Alaska,2020-03-14,1
Arizona,2020-03-14,12
Arkansas,2020-03-14,9
California,2020-03-14,381
Colorado,2020-03-14,103
Delaware,2020-03-14,4
District of Columbia,2020-03-14,16
Florida,2020-03-14,70
Georgia,2020-03-14,65
Hawaii,2020-03-14,4
Connecticut,2020-03-14,20
Illinois,2020-03-14,66
Idaho,2020-03-14,5
Michigan,2020-03-14,33
Massachusetts,2020-03-14,138
Maryland,2020-03-14,27
Maine,2020-03-14,3
Minnesota,2020-03-14,21
Kentucky,2020-03-14,18
Kansas,2020-03-14,8
Iowa,2020-03-14,18
Indiana,2020-03-14,15
Louisiana,2020-03-14,77
Oregon,2020-03-15,39
Oklahoma,2020-03-15,8
Ohio,2020-03-15,37
North Dakota,2020-03-15,1
North Carolina,2020-03-15,32
New Mexico,2020-03-15,17
New Jersey,2020-03-15,98
New Hampshire,2020-03-15,13
Nevada,2020-03-15,26
Wyoming,2020-03-15,3
New York,2020-03-15,732
Pennsylvania,2020-03-15,68
Nebraska,2020-03-15,31
Rhode Island,2020-03-15,20
South Carolina,2020-03-15,28
South Dakota,2020-03-15,9
Tennessee,2020-03-15,39
Texas,2020-03-15,80
Utah,2020-03-15,29
Vermont,2020-03-15,8
Virgin Islands,2020-03-15,1
Virginia,2020-03-15,45
Washington,2020-03-15,675
Wisconsin,2020-03-15,33
Puerto Rico,2020-03-15,5
Montana,2020-03-15,6
Idaho,2020-03-15,5
Mississippi,2020-03-15,10
Alabama,2020-03-15,23
Alaska,2020-03-15,1
Arizona,2020-03-15,13
Arkansas,2020-03-15,16
California,2020-03-15,478
Colorado,2020-03-15,136
Connecticut,2020-03-15,26
Delaware,2020-03-15,7
District of Columbia,2020-03-15,17
Florida,2020-03-15,109
Georgia,2020-03-15,97
Guam,2020-03-15,3
Missouri,2020-03-15,5
Illinois,2020-03-15,94
Indiana,2020-03-15,19
Iowa,2020-03-15,22
Kansas,2020-03-15,9
Kentucky,2020-03-15,21
Louisiana,2020-03-15,103
Maine,2020-03-15,12
Maryland,2020-03-15,32
Massachusetts,2020-03-15,164
Michigan,2020-03-15,53
Minnesota,2020-03-15,35
Hawaii,2020-03-15,7
Oregon,2020-03-16,46
Oklahoma,2020-03-16,10
Ohio,2020-03-16,50
North Dakota,2020-03-16,1
Nevada,2020-03-16,45
New Mexico,2020-03-16,21
New Jersey,2020-03-16,176
New Hampshire,2020-03-16,17
Pennsylvania,2020-03-16,81
North Carolina,2020-03-16,34
Puerto Rico,2020-03-16,5
Texas,2020-03-16,87
South Carolina,2020-03-16,33
South Dakota,2020-03-16,10
Tennessee,2020-03-16,52
Nebraska,2020-03-16,33
Utah,2020-03-16,40
Vermont,2020-03-16,12
Virgin Islands,2020-03-16,2
Virginia,2020-03-16,51
Washington,2020-03-16,794
Wisconsin,2020-03-16,47
Wyoming,2020-03-16,10
Rhode Island,2020-03-16,21
Montana,2020-03-16,8
New York,2020-03-16,950
Missouri,2020-03-16,9
Mississippi,2020-03-16,12
Alabama,2020-03-16,29
Alaska,2020-03-16,3
Arizona,2020-03-16,18
Arkansas,2020-03-16,22
California,2020-03-16,588
Colorado,2020-03-16,161
Delaware,2020-03-16,8
District of Columbia,2020-03-16,22
Florida,2020-03-16,141
Georgia,2020-03-16,118
Guam,2020-03-16,3
Connecticut,2020-03-16,41
Idaho,2020-03-16,5
Hawaii,2020-03-16,10
Michigan,2020-03-16,54
Massachusetts,2020-03-16,197
Maryland,2020-03-16,39
Maine,2020-03-16,17
Louisiana,2020-03-16,137
Minnesota,2020-03-16,54
Kansas,2020-03-16,11
Iowa,2020-03-16,22
Indiana,2020-03-16,24
Illinois,2020-03-16,104
Kentucky,2020-03-16,22
Pennsylvania,2020-03-17,101
Oregon,2020-03-17,66
Oklahoma,2020-03-17,18
Ohio,2020-03-17,67
North Dakota,2020-03-17,5
New Mexico,2020-03-17,23
New York,2020-03-17,1374
New Jersey,2020-03-17,268
New Hampshire,2020-03-17,26
Nevada,2020-03-17,55
North Carolina,2020-03-17,42
Puerto Rico,2020-03-17,5
Nebraska,2020-03-17,36
South Carolina,2020-03-17,47
South Dakota,2020-03-17,11
Tennessee,2020-03-17,73
Texas,2020-03-17,106
Utah,2020-03-17,51
Vermont,2020-03-17,14
Virgin Islands,2020-03-17,2
Virginia,2020-03-17,67
Washington,2020-03-17,908
West Virginia,2020-03-17,1
Wisconsin,2020-03-17,72
Rhode Island,2020-03-17,23
Wyoming,2020-03-17,15
Montana,2020-03-17,8
Mississippi,2020-03-17,21
Alabama,2020-03-17,39
Alaska,2020-03-17,6
Arizona,2020-03-17,20
Arkansas,2020-03-17,22
California,2020-03-17,732
Colorado,2020-03-17,183
Connecticut,2020-03-17,68
Delaware,2020-03-17,16
District of Columbia,2020-03-17,31
Florida,2020-03-17,210
Georgia,2020-03-17,142
Guam,2020-03-17,3
Missouri,2020-03-17,16
Idaho,2020-03-17,9
Minnesota,2020-03-17,60
Michigan,2020-03-17,65
Massachusetts,2020-03-17,218
Hawaii,2020-03-17,14
Maine,2020-03-17,32
Maryland,2020-03-17,57
Kentucky,2020-03-17,26
Kansas,2020-03-17,17
Iowa,2020-03-17,29
Indiana,2020-03-17,30
Illinois,2020-03-17,159
Louisiana,2020-03-17,196
Oklahoma,2020-03-18,29
Ohio,2020-03-18,90
North Dakota,2020-03-18,7
North Carolina,2020-03-18,66
Nebraska,2020-03-18,43
New Mexico,2020-03-18,28
New Jersey,2020-03-18,427
New Hampshire,2020-03-18,39
Nevada,2020-03-18,82
Oregon,2020-03-18,74
New York,2020-03-18,2382
Pennsylvania,2020-03-18,139
Utah,2020-03-18,65
Rhode Island,2020-03-18,33
South Carolina,2020-03-18,60
South Dakota,2020-03-18,11
Tennessee,2020-03-18,98
Texas,2020-03-18,166
Vermont,2020-03-18,19
Virgin Islands,2020-03-18,3
Virginia,2020-03-18,78
Washington,2020-03-18,1026
West Virginia,2020-03-18,2
Wisconsin,2020-03-18,106
Montana,2020-03-18,12
Puerto Rico,2020-03-18,5
Wyoming,2020-03-18,17
Missouri,2020-03-18,21
Minnesota,2020-03-18,77
Mississippi,2020-03-18,34
Alabama,2020-03-18,51
Alaska,2020-03-18,9
Arizona,2020-03-18,28
Arkansas,2020-03-18,33
California,2020-03-18,893
Colorado,2020-03-18,216
Delaware,2020-03-18,26
District of Columbia,2020-03-18,36
Florida,2020-03-18,326
Georgia,2020-03-18,193
Guam,2020-03-18,8
Connecticut,2020-03-18,96
Idaho,2020-03-18,11
Michigan,2020-03-18,80
Hawaii,2020-03-18,16
Massachusetts,2020-03-18,256
Maryland,2020-03-18,85
Louisiana,2020-03-18,280
Maine,2020-03-18,43
Kansas,2020-03-18,22
Iowa,2020-03-18,38
Indiana,2020-03-18,39
Illinois,2020-03-18,286
Kentucky,2020-03-18,35
North Dakota,2020-03-19,19
Oregon,2020-03-19,87
Oklahoma,2020-03-19,44
Ohio,2020-03-19,120
North Carolina,2020-03-19,104
Nevada,2020-03-19,99
New Mexico,2020-03-19,35
New Jersey,2020-03-19,735
New Hampshire,2020-03-19,44
Pennsylvania,2020-03-19,187
New York,2020-03-19,4152
Puerto Rico,2020-03-19,6
Wyoming,2020-03-19,18
South Carolina,2020-03-19,81
South Dakota,2020-03-19,14
Tennessee,2020-03-19,155
Texas,2020-03-19,248
Utah,2020-03-19,80
Vermont,2020-03-19,22
Virgin Islands,2020-03-19,3
Virginia,2020-03-19,94
Washington,2020-03-19,1228
West Virginia,2020-03-19,5
Wisconsin,2020-03-19,155
Nebraska,2020-03-19,47
Rhode Island,2020-03-19,44
Montana,2020-03-19,19
Guam,2020-03-19,12
Mississippi,2020-03-19,50
Alabama,2020-03-19,78
Alaska,2020-03-19,12
Arizona,2020-03-19,47
Arkansas,2020-03-19,62
California,2020-03-19,1067
Colorado,2020-03-19,278
Connecticut,2020-03-19,159
District of Columbia,2020-03-19,68
Florida,2020-03-19,434
Georgia,2020-03-19,282
Missouri,2020-03-19,35
Hawaii,2020-03-19,26
Delaware,2020-03-19,30
Illinois,2020-03-19,420
Idaho,2020-03-19,23
Michigan,2020-03-19,334
Massachusetts,2020-03-19,328
Maryland,2020-03-19,108
Maine,2020-03-19,52
Minnesota,2020-03-19,89
Kentucky,2020-03-19,47
Kansas,2020-03-19,35
Iowa,2020-03-19,44
Indiana,2020-03-19,56
Louisiana,2020-03-19,392
Oregon,2020-03-20,114
Oklahoma,2020-03-20,49
Ohio,2020-03-20,169
North Dakota,2020-03-20,27
North Carolina,2020-03-20,144
New Mexico,2020-03-20,43
New Jersey,2020-03-20,896
New Hampshire,2020-03-20,55
Nevada,2020-03-20,165
Pennsylvania,2020-03-20,269
New York,2020-03-20,7102
Puerto Rico,2020-03-20,14
Wyoming,2020-03-20,22
South Carolina,2020-03-20,126
South Dakota,2020-03-20,14
Tennessee,2020-03-20,237
Texas,2020-03-20,377
Utah,2020-03-20,112
Vermont,2020-03-20,29
Virgin Islands,2020-03-20,6
Virginia,2020-03-20,115
Washington,2020-03-20,1404
